,platform,year,genre,publisher,na_sales,global_sales
0,26,2006.0,10,359,41.49,82.74
1,11,1985.0,4,359,29.08,40.24
2,26,2008.0,6,359,15.85,35.82
3,26,2009.0,10,359,15.75,33.0
4,5,1996.0,7,359,11.27,31.37
5,5,1989.0,5,359,23.2,30.26
6,4,2006.0,4,359,11.38,30.01
7,26,2006.0,3,359,14.03,29.02
8,26,2009.0,4,359,14.59,28.62
9,11,1984.0,8,359,26.93,28.31
10,4,2005.0,9,359,9.07,24.76
11,4,2005.0,6,359,9.81,23.42
12,5,1999.0,7,359,9.0,23.1
13,26,2007.0,10,359,8.94,22.72
14,26,2009.0,10,359,9.09,22.0
15,28,2010.0,3,323,14.97,21.82
16,17,2013.0,0,493,7.01,21.4
17,16,2004.0,0,493,9.43,20.81
18,23,1990.0,4,359,12.78,20.61
19,4,2005.0,3,359,4.75,20.22
20,4,2006.0,7,359,6.42,18.36
21,5,1989.0,4,359,10.83,18.14
22,11,1988.0,4,359,9.54,17.28
23,28,2013.0,0,493,9.63,16.38
24,16,2002.0,0,493,8.41,16.15
25,6,2002.0,7,359,6.06,15.85
26,4,2010.0,7,359,5.57,15.32
27,4,2005.0,5,359,3.44,15.3
28,16,2001.0,6,455,6.85,14.98
29,28,2011.0,8,21,9.03,14.76
30,5,1998.0,7,359,5.89,14.64
31,28,2010.0,8,21,9.67,14.64
32,2,2013.0,7,359,5.17,14.35
33,18,2015.0,8,21,5.77,14.24
34,17,2012.0,8,21,4.99,14.03
35,28,2012.0,8,21,8.25,13.73
36,28,2009.0,8,21,8.52,13.51
37,17,2011.0,8,21,5.54,13.46
38,16,2001.0,0,493,6.99,13.1
39,26,2008.0,2,359,6.75,13.04
40,17,2010.0,8,21,5.98,12.73
41,4,2005.0,9,359,2.55,12.27
42,2,2011.0,6,359,4.74,12.21
43,28,2007.0,8,323,7.97,12.14
44,18,2014.0,0,493,3.8,11.98
45,4,2009.0,0,359,4.4,11.9
46,10,1996.0,4,359,6.91,11.89
47,16,2004.0,6,455,3.01,11.66
48,26,2007.0,4,359,6.16,11.52
49,2,2014.0,7,359,4.23,11.33
50,5,1992.0,1,359,6.16,11.18
51,28,2008.0,0,493,6.76,11.02
52,15,1997.0,6,455,4.02,10.95
53,2,2011.0,4,359,4.89,10.79
54,17,2010.0,6,455,2.96,10.77
55,17,2009.0,8,21,4.99,10.69
56,17,2008.0,0,493,4.76,10.57
57,23,1993.0,4,359,5.99,10.55
58,6,2004.0,7,359,4.34,10.49
59,4,2004.0,4,359,5.08,10.42
60,26,2011.0,3,524,6.05,10.26
61,28,2013.0,8,21,6.72,10.21
62,28,2010.0,8,323,7.03,9.88
63,10,1996.0,6,359,5.55,9.87
64,2,2012.0,4,359,3.66,9.82
65,28,2012.0,8,323,6.63,9.76
66,15,1997.0,7,455,3.01,9.72
67,17,2013.0,8,21,4.09,9.59
68,26,2010.0,3,524,5.84,9.52
69,15,1999.0,6,455,3.88,9.49
70,28,2007.0,8,21,5.91,9.32
71,23,1994.0,4,359,4.36,9.3
72,28,2013.0,3,323,5.58,9.2
73,2,2012.0,9,359,2.01,9.09
74,4,2007.0,3,359,4.46,9.02
75,28,2011.0,7,66,5.03,8.84
76,23,1992.0,6,359,3.54,8.76
77,18,2015.0,10,138,1.11,8.49
78,26,2010.0,3,359,1.79,8.49
79,29,2004.0,8,323,6.82,8.49
80,26,2007.0,3,359,3.81,8.42
81,4,2012.0,7,359,2.91,8.33
82,17,2012.0,0,138,1.06,8.24
83,13,2009.0,9,138,0.98,8.11
84,10,1997.0,8,359,5.8,8.09
85,26,2007.0,10,445,2.58,8.06
86,16,2001.0,7,455,2.91,8.05
87,15,1999.0,7,465,2.28,7.86
88,4,2008.0,7,359,2.82,7.84
89,0,1982.0,5,53,7.28,7.81
90,19,2005.0,0,493,2.9,7.72
91,26,2010.0,4,359,3.66,7.69
92,18,2015.0,8,138,2.93,7.67
93,18,2014.0,8,21,2.8,7.6
94,10,1998.0,0,359,4.1,7.6
95,15,1997.0,4,455,3.78,7.58
96,11,1988.0,4,359,5.39,7.46
97,2,2014.0,2,359,3.24,7.45
98,28,2008.0,8,21,4.79,7.37
99,28,2011.0,8,138,4.46,7.34
100,26,2006.0,0,359,3.83,7.31
101,30,2015.0,8,21,4.52,7.3
102,26,2009.0,3,524,3.51,7.27
103,17,2011.0,8,138,2.85,7.23
104,16,2003.0,6,138,3.27,7.2
105,15,1998.0,2,455,3.27,7.16
106,15,1998.0,4,455,3.68,7.13
107,7,2001.0,2,359,4.41,7.07
108,27,2014.0,6,359,3.13,6.96
109,18,2015.0,7,66,2.47,6.96
110,7,2003.0,6,359,4.12,6.95
111,26,2012.0,3,524,4.14,6.91
112,17,2013.0,10,138,0.78,6.9
113,16,2004.0,6,138,2.71,6.9
114,16,2002.0,8,138,2.93,6.83
115,17,2011.0,0,455,2.77,6.83
116,15,1996.0,4,455,3.23,6.82
117,26,2010.0,10,6,3.5,6.81
118,28,2008.0,8,323,4.15,6.76
119,17,2009.0,0,455,3.27,6.73
120,17,2007.0,8,21,3.1,6.72
121,17,2011.0,10,138,0.84,6.69
122,4,2005.0,3,359,1.67,6.67
123,17,2010.0,0,493,2.79,6.6
124,18,2014.0,10,138,0.79,6.59
125,26,2010.0,4,359,3.25,6.59
126,17,2011.0,7,66,2.55,6.56
127,11,1986.0,0,359,3.74,6.51
128,17,2012.0,0,524,2.64,6.5
129,29,2001.0,8,323,4.98,6.43
130,6,2004.0,7,359,2.57,6.41
131,16,2002.0,7,455,3.64,6.4
132,5,2000.0,7,359,2.55,6.39
133,28,2009.0,8,323,4.34,6.36
134,28,2010.0,0,493,3.7,6.34
135,7,2002.0,4,359,4.01,6.31
136,23,1992.0,2,85,2.47,6.3
137,13,2004.0,7,21,0.07,6.28
138,15,1999.0,0,177,3.11,6.27
139,28,2010.0,10,323,3.92,6.24
140,28,2011.0,8,323,4.05,6.24
141,28,2006.0,8,323,3.54,6.11
142,16,2001.0,0,275,2.45,6.05
143,8,1992.0,4,445,4.47,6.03
144,17,2008.0,0,275,2.63,6.03
145,15,1998.0,0,275,3.18,6.03
146,17,2013.0,0,457,2.41,5.99
147,16,2006.0,7,464,1.88,5.95
148,17,2008.0,4,455,2.8,5.92
149,4,2009.0,7,359,0.66,5.84
150,26,2007.0,0,288,3.66,5.83
151,15,1998.0,0,540,1.88,5.82
152,15,1996.0,2,455,2.26,5.74
153,4,2006.0,9,6,3.13,5.72
154,18,2014.0,8,21,2.49,5.65
155,11,1988.0,5,359,2.97,5.58
156,17,2009.0,0,524,2.54,5.57
157,10,1999.0,2,359,2.95,5.55
158,28,2007.0,1,524,3.28,5.55
159,17,2011.0,0,547,2.7,5.53
160,28,2009.0,6,323,2.99,5.51
161,19,2008.0,7,85,0.47,5.5
162,6,2001.0,4,359,3.14,5.49
163,6,2001.0,6,359,2.62,5.47
164,6,2001.0,4,359,3.21,5.46
165,10,1999.0,11,359,3.18,5.45
166,17,2008.0,8,21,2.72,5.43
167,16,2001.0,4,527,2.07,5.42
168,17,2014.0,3,455,1.97,5.42
169,17,2009.0,7,464,1.74,5.36
170,5,1989.0,5,359,2.18,5.34
171,5,1999.0,3,359,3.02,5.31
172,28,2012.0,0,524,3.13,5.3
173,15,2000.0,7,465,1.62,5.3
174,16,2003.0,7,138,1.92,5.29
175,10,1999.0,4,359,3.33,5.27
176,28,2009.0,0,524,3.1,5.27
177,4,2007.0,5,359,1.22,5.26
178,15,1997.0,0,137,2.3,5.24
180,16,2004.0,7,464,0.65,5.21
181,13,2012.0,7,21,2.43,5.2
182,6,2003.0,4,359,2.93,5.2
183,27,2012.0,4,359,2.32,5.19
184,5,1994.0,4,359,2.49,5.19
185,28,2012.0,0,138,1.08,5.18
186,4,2007.0,0,359,1.9,5.17
187,23,1995.0,4,359,2.1,5.15
188,2,2013.0,9,359,0.96,5.15
189,4,2008.0,10,445,1.64,5.14
190,16,2003.0,8,138,1.98,5.13
191,5,1992.0,4,359,2.71,5.13
192,28,2010.0,7,323,3.59,5.13
193,30,2014.0,8,21,3.21,5.13
194,13,1996.0,9,323,3.22,5.12
195,16,2006.0,3,426,3.81,5.12
196,17,2009.0,0,85,1.96,5.11
197,30,2014.0,0,493,2.66,5.08
198,19,2006.0,0,493,1.7,5.08
199,17,2010.0,10,138,0.6,5.08
200,5,1999.0,4,359,3.4,5.07
201,15,1996.0,0,540,2.05,5.05
202,15,1999.0,10,21,3.42,5.02
203,27,2014.0,2,359,2.59,5.02
204,15,1999.0,11,137,2.79,5.01
205,15,1998.0,4,455,3.36,5.0
206,26,2007.0,8,359,3.06,5.0
207,16,2007.0,3,21,3.49,4.98
208,28,2008.0,7,66,3.39,4.96
209,4,2007.0,7,359,1.85,4.96
210,17,2007.0,0,455,2.31,4.94
211,16,2005.0,10,138,3.98,4.91
212,4,2007.0,0,288,2.89,4.9
213,10,1997.0,6,359,2.91,4.88
214,19,2010.0,7,85,0.0,4.87
215,11,1990.0,5,359,2.62,4.85
216,17,2010.0,0,455,2.74,4.84
217,13,2010.0,11,21,2.56,4.83
218,17,2007.0,1,524,1.91,4.83
219,17,2014.0,10,138,0.57,4.82
220,15,1999.0,6,455,2.57,4.79
221,18,2016.0,10,138,0.28,4.77
222,28,2011.0,0,547,2.99,4.76
223,15,2000.0,0,53,2.36,4.73
224,16,2003.0,6,543,1.73,4.7
225,15,2000.0,10,21,3.05,4.68
226,26,2008.0,9,359,1.87,4.68
227,16,2002.0,0,138,1.94,4.67
228,28,2011.0,6,323,2.08,4.64
229,15,1996.0,0,137,2.29,4.63
230,26,2007.0,3,21,3.06,4.62
231,23,1991.0,0,359,2.42,4.61
232,7,2002.0,0,359,2.6,4.6
233,26,2009.0,10,445,1.89,4.58
234,2,2013.0,0,359,1.78,4.58
235,27,2015.0,8,359,1.55,4.57
236,18,2014.0,0,455,1.78,4.55
237,28,2007.0,3,21,3.19,4.53
238,16,2004.0,10,138,4.18,4.53
239,0,1981.0,4,21,4.21,4.5
240,16,2006.0,10,138,3.63,4.49
241,16,2002.0,0,21,2.71,4.48
242,15,2000.0,7,144,0.2,4.47
243,18,2015.0,0,455,1.96,4.47
244,17,2014.0,8,21,1.54,4.45
245,16,2005.0,0,455,2.71,4.45
246,27,2012.0,3,359,2.55,4.44
247,26,2010.0,3,524,2.67,4.42
248,16,2001.0,10,21,2.66,4.41
249,16,2006.0,10,275,0.1,4.39
250,28,2006.0,7,493,2.82,4.39
251,11,1987.0,1,359,2.19,4.38
252,16,2005.0,6,138,2.03,4.37
253,17,2006.0,8,455,1.73,4.35
254,8,1991.0,4,445,3.03,4.34
255,16,2005.0,7,464,2.2,4.33
256,28,2013.0,10,138,0.92,4.31
257,28,2014.0,8,21,2.75,4.31
258,0,1980.0,8,53,4.0,4.31
259,28,2008.0,7,323,2.51,4.31
260,30,2015.0,8,323,2.64,4.26
261,27,2013.0,4,359,2.11,4.25
262,17,2009.0,0,137,2.23,4.25
263,17,2011.0,0,524,1.41,4.24
264,6,2001.0,3,347,3.0,4.24
